id,date,action_type,description,severity,category,impacted_sectors,p2025_pillar,linked_fix_id,url
EVT-2025-0128-011,2025-01-28,Workforce Action,Deferred resignation program offered federal buyouts with agencies instructed to treat non-acceptance as willingness to be terminated - pressuring mass voluntary departures.,8,Democracy,Economy; Democracy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0128-011
EVT-2025-0129-012,2025-01-29,Regulatory Guidance,"OPM issues Schedule F implementing guidance directing agencies to identify policy-influencing positions for at-will reclassification - potentially affecting 50,000+ roles.",9,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0129-012
EVT-2025-0203-013,2025-02-03,Agency Action,USAID workforce placed on leave and foreign aid disbursements halted - effectively dismantling the agency without congressional authorization.,10,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0203-013
EVT-2025-0205-014,2025-02-05,Regulatory Rollback,"NLRB leadership rescinded pro-worker organizing guidance, reversing Biden-era protections for union elections and collective bargaining rights.",7,Economy,Economy; Civil Rights,Labor & Economy,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0205-014
EVT-2025-0207-015,2025-02-07,Enforcement Pause,CFPB halted new enforcement actions and rulemakings under acting leadership - effectively pausing consumer financial protection oversight.,8,Economy,Economy; Democracy,Financial Regulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0207-015
EVT-2025-0214-016,2025-02-14,Workforce Reduction,"Mass termination of probationary federal employees across HHS, VA, and EPA - thousands removed with minimal notice, gutting regulatory and service capacity.",8,Democracy,Healthcare; Environment; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0214-016
EVT-2025-0225-017,2025-02-25,Regulatory Rollback,"EPA initiated review and stay of methane leak detection standards for 280,000 oil and gas well sites, rolling back Biden-era climate rules.",8,Environment,Environment,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0225-017
EVT-2025-0320-018,2025-03-20,Executive Order,Education Secretary directed to take all lawful steps to wind down the Department of Education and return authority to states - a signature Project 2025 objective.,9,Education,Education; Democracy,Education,FIX-ED-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0320-018
EVT-2025-0402-019,2025-04-02,Regulatory Change,"Department of Education Title IX rules narrowed harassment definitions and mandated live cross-examination hearings, affecting 19 million college students.",5,Education,Education; Civil Rights,Education,FIX-ED-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0402-019
EVT-2025-0614-020,2025-06-14,Enforcement Expansion,"ICE detention capacity expanded by 40,000 beds through new facility contracts; expedited removal extended to individuals present less than two years.",8,Immigration,Immigration; Civil Rights,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0614-020
EVT-2025-1108-021,2025-11-08,Subsidy Expiration,"Enhanced ACA premium tax credits expired, raising average benchmark silver plan premiums 18% nationally and affecting 21 million enrollees.",8,Healthcare,Healthcare; Economy,Healthcare,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-1108-021
EVT-2025-1218-022,2025-12-18,Congressional Action,Congress invoked the Congressional Review Act to overturn 7 federal agency rules in a single year - the highest CRA usage since its 1996 enactment.,7,Democracy,Democracy; Environment; Healthcare,Legislative Rollbacks,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-1218-022
EVT-2026-0115-023,2026-01-15,Legislative Proposal,"32 states introduced 127 bills restricting voting access, including limits on mail ballot drop boxes, shortened early voting, and expanded voter roll purges.",9,Democracy,Democracy; Civil Rights,Elections & Voting,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2026-0115-023
EVT-2026-0201-024,2026-02-01,Tracker Assessment,Center for Progressive Reform reports over 53% of Project 2025's domestic administrative policy agenda initiated or completed within the administration's first year.,9,Democracy,Democracy,Overall Progress,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2026-0201-024
EVT-2026-0203-025,2026-02-03,Public Opinion Data,Pew Research finds only 18% of Americans trust the federal government 'just about always' or 'most of the time' - near historic lows amid institutional legitimacy crisis.,6,Democracy,Democracy,Democratic Legitimacy,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2026-0203-025
EVT-2025-0120-026,2025-01-20,Executive Order,Regulatory freeze halts publication of new federal rules and withdraws unpublished regulations pending political review - stalling agency rulemaking across government.,8,Democracy,Democracy; Environment; Healthcare,Regulatory Rollback,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-026
EVT-2025-0120-027,2025-01-20,Executive Order,"Federal lands drilling order expands oil and gas leasing on public lands and waters, reversing Biden-era restrictions - implementing Project 2025 energy extraction priorities.",9,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-027
EVT-2025-0210-028,2025-02-10,Regulatory Rollback,"SEC halted climate risk disclosure requirements for public companies, removing investor transparency on corporate emissions and climate exposure.",7,Environment,Environment; Economy,Financial Regulation,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0210-028
EVT-2025-0201-029,2025-02-01,Institutional Weakening,"Merit Systems Protection Board lacks quorum to hear federal employee appeals, leaving Schedule F reclassification and mass termination challenges without independent adjudication.",8,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0201-029
EVT-2025-0301-030,2025-03-01,Enforcement Expansion,"DHS expanded interior enforcement and expedited removal operations, deploying additional ICE agents and military coordination for mass deportation infrastructure.",9,Immigration,Immigration; Civil Rights; Democracy,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0301-030
EVT-2025-0315-031,2025-03-15,Agency Restructuring,"USAID functions consolidated under State Department control, eliminating independent foreign aid oversight and humanitarian program autonomy.",9,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0315-031
EVT-2025-0315-032,2025-03-15,Media Policy,FCC leadership signaled renewed broadcast licensing scrutiny and rolled back diversity policies - aligning with Project 2025's media and communications chapter.,7,Democracy,Democracy; Civil Rights,Media & Communications,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-0315-032
EVT-2025-0103-033,2025-01-03,Legislative Proposal,"SAVE Act reintroduced in the 119th Congress, requiring documentary proof of citizenship for federal voter registration - a Project 2025 elections priority.",8,Democracy,Democracy; Civil Rights,Elections & Voting,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0103-033
EVT-2025-0220-034,2025-02-20,Ethics Rollback,"Office of Government Ethics enforcement weakened for political appointees, with expanded ethics waivers reducing executive branch financial transparency.",6,Democracy,Democracy,Ethics & Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-0220-034
EVT-2025-0120-035,2025-01-20,Executive Order,"Federal policy redefined to recognize only two biological sexes, directing agencies to remove gender-identity protections from programs - a Project 2025 civil-service and culture-war priority.",8,Civil Rights,Civil Rights; Healthcare; Education,Culture & Civil Rights,FIX-ED-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-035
EVT-2025-0120-036,2025-01-20,Executive Order,"Federal employees ordered back to in-person work, terminating remote arrangements - accelerating attrition alongside hiring freezes and deferred-resignation pressure.",6,Economy,Economy; Democracy,Personnel & Civil Service,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-036
EVT-2025-0120-037,2025-01-20,Executive Clemency,Broad pardons granted to individuals convicted of offenses related to the January 6 Capitol attack - undermining accountability for election subversion.,10,Democracy,Democracy; Civil Rights,Rule of Law,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-037
EVT-2025-0120-038,2025-01-20,Executive Order,Foreign aid disbursements paused pending ideological review - halting humanitarian and development programs worldwide without congressional authorization.,9,Democracy,Democracy; Healthcare,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-038
EVT-2025-0128-039,2025-01-28,Oversight Report,"GAO finds Medicaid work-requirement demonstrations impose substantial administrative costs, with federal funds covering the majority of compliance verification spending.",6,Healthcare,Healthcare; Economy,Healthcare,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0128-039
EVT-2025-1119-040,2025-11-19,Legislative Proposal,"Epstein Files Transparency Act introduced in the 119th Congress, requiring DOJ to release unclassified investigation records - amid broader elite accountability demands.",5,Democracy,Democracy,Transparency,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-1119-040
EVT-2025-0120-041,2025-01-20,Executive Order,America First Trade Policy directs agencies to review all trade agreements and recommend reciprocal tariffs - initiating Project 2025's protectionist trade agenda.,8,Economy,Economy; Democracy,Trade & Commerce,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-041
EVT-2025-0120-042,2025-01-20,Executive Order,Federal censorship coordination with social media platforms prohibited; prior government content-moderation efforts ordered reviewed - reshaping platform accountability policy.,7,Democracy,Democracy; Civil Rights,Media & Communications,FIX-SAFE-004,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-042
EVT-2025-0120-043,2025-01-20,Executive Order,U.S. Refugee Admissions Program suspended pending realignment with administration immigration priorities - halting humanitarian resettlement for vulnerable populations.,9,Immigration,Immigration; Civil Rights,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-043
EVT-2025-0120-044,2025-01-20,Executive Order,Drug cartels directed for designation as foreign terrorist organizations - expanding military and surveillance authorities for domestic immigration enforcement operations.,9,Immigration,Immigration; Democracy,Immigration Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-044
EVT-2025-0120-045,2025-01-20,Executive Order,Federal death penalty restored and Biden-era execution moratorium ended - DOJ directed to resume capital prosecutions and pursue death sentences.,8,Civil Rights,Civil Rights; Democracy,Rule of Law,FIX-SAFE-003,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-045
EVT-2025-0207-046,2025-02-07,Funding Cut,"NIH capped indirect research cost reimbursement at 15%, cutting billions from university and hospital research infrastructure nationwide.",8,Healthcare,Healthcare; Education; Economy,Agency Restructuring,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0207-046
EVT-2025-0120-047,2025-01-20,Executive Order,Inflation Reduction Act clean energy grant disbursements paused pending ideological review - stalling climate investment programs authorized by Congress.,9,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0120-047
EVT-2025-0214-048,2025-02-14,Program Termination,"IRS Direct File free tax-filing pilot terminated, eliminating a public alternative to commercial tax preparation and reducing access for low-income filers.",6,Economy,Economy; Civil Rights,Financial Regulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0214-048
EVT-2025-0402-049,2025-04-02,Executive Order,Reciprocal tariffs imposed on imports from trading partners to address trade deficits - escalating global trade war and raising consumer prices across sectors.,9,Economy,Economy; Democracy,Trade & Commerce,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0402-049
EVT-2025-0210-050,2025-02-10,Enforcement Shift,"DOJ Civil Rights Division deprioritized voting rights and police accountability cases, redirecting enforcement toward DEI program investigations.",9,Civil Rights,Civil Rights; Democracy,Rule of Law,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0210-050
EVT-2025-0301-051,2025-03-01,Enforcement Shift,EEOC redirected civil rights enforcement toward DEI program investigations while deprioritizing systemic workplace discrimination cases.,7,Civil Rights,Civil Rights; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0301-051
EVT-2025-0310-052,2025-03-10,Regulatory Rollback,HUD paused affirmatively furthering fair housing implementation and redirected resources away from housing discrimination enforcement.,7,Civil Rights,Civil Rights; Economy,Housing & Communities,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0310-052
EVT-2025-0305-053,2025-03-05,Regulatory Rollback,Labor Department halted Biden-era overtime pay expansion for salaried workers - reversing wage protections for an estimated 4 million employees.,7,Economy,Economy; Civil Rights,Labor & Economy,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0305-053
EVT-2025-0312-054,2025-03-12,Enforcement Pause,FTC deprioritized merger challenges and consumer fraud cases under new leadership - weakening antitrust and consumer protection oversight.,8,Economy,Economy; Democracy,Financial Regulation,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0312-054
EVT-2025-0201-055,2025-02-01,Institutional Access,Treasury granted DOGE-aligned reviewers access to federal payment systems - bypassing standard inspector general oversight for spending decisions.,9,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0201-055
EVT-2025-0218-056,2025-02-18,Regulatory Rollback,EPA reopened review of light-duty vehicle greenhouse gas standards - stalling clean-car rules and aligning with Project 2025's deregulatory energy agenda.,8,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0218-056
EVT-2025-0205-057,2025-02-05,Enforcement Shift,Labor Department suspended federal contractor affirmative action compliance reviews and redirected OFCCP enforcement toward DEI program investigations.,7,Civil Rights,Civil Rights; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0205-057
EVT-2025-0228-058,2025-02-28,Workforce Reduction,CISA placed staff on administrative leave and halted hiring - weakening election-security and critical-infrastructure cyber defense amid federal workforce cuts.,9,Democracy,Democracy; Economy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0228-058
EVT-2025-0128-059,2025-01-28,Program Termination,Pentagon eliminated DEI offices and training across the armed services - disbanding advisory groups and canceling diversity initiatives.,7,Civil Rights,Civil Rights; Democracy,Culture & Civil Rights,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0128-059
EVT-2025-0318-060,2025-03-18,Regulatory Rollback,Interior delayed endangered-species listings and weakened migratory bird protections to expedite drilling and mining on federal lands.,8,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0318-060
EVT-2025-0322-061,2025-03-22,Workforce Reduction,Social Security Administration placed staff on administrative leave and halted hiring - threatening benefit processing timelines for 70 million Americans as DOGE reviews federal payment systems.,9,Economy,Economy; Democracy,Agency Restructuring,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0322-061
EVT-2025-0325-062,2025-03-25,Workforce Reduction,FEMA disaster preparedness staffing cut ahead of hurricane season - weakening federal response capacity as climate disasters intensify nationwide.,8,Environment,Environment; Democracy,Agency Restructuring,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0325-062
EVT-2025-0328-063,2025-03-28,Program Freeze,NOAA climate research and monitoring programs paused pending ideological spending review - stalling hurricane forecasting and temperature data collection.,8,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0328-063
EVT-2025-0401-064,2025-04-01,Program Freeze,"CDC discretionary grant disbursements halted and staff placed on leave - disrupting disease surveillance, reproductive health data, and state public health partnerships.",9,Healthcare,Healthcare; Democracy,Health & Global Affairs,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0401-064
EVT-2025-0405-065,2025-04-05,Workforce Reduction,"Federal Student Aid office probations terminated and hiring frozen - delaying loan servicing, income-driven repayment processing, and borrower assistance for 43 million Americans.",7,Education,Education; Economy,Education Restructuring,FIX-ED-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0405-065
EVT-2025-0410-066,2025-04-10,Regulatory Rollback,EPA dismissed members of its Science Advisory Board and Clean Air Scientific Advisory Committee - removing independent scientists who review pollution standards.,8,Environment,Environment; Democracy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0410-066
EVT-2025-0415-067,2025-04-15,Enforcement Shift,HUD paused fair-housing discrimination investigations and redirected staff toward reviewing DEI-related grant language - weakening enforcement of the Fair Housing Act.,7,Civil Rights,Civil Rights; Economy,Culture & Civil Rights,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0415-067
EVT-2025-0418-068,2025-04-18,Program Freeze,"NIH placed new grant applications on hold pending ideological review of research topics - delaying biomedical studies on climate health, reproductive care, and LGBTQ populations.",9,Healthcare,Healthcare; Education,Health & Global Affairs,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0418-068
EVT-2025-0422-069,2025-04-22,Program Termination,"USAID headquarters staff placed on leave and foreign assistance programs halted - dismantling decades of global health, famine relief, and democracy-promotion infrastructure.",9,Democracy,Democracy; Healthcare,Health & Global Affairs,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0422-069
EVT-2025-0428-070,2025-04-28,Workforce Reduction,"Veterans Affairs eliminated DEI offices and placed probationary employees on termination notice - cutting support staff while 700,000 disability claims remain backlogged.",8,Healthcare,Civil Rights; Healthcare,Personnel & Civil Service,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0428-070
EVT-2025-0502-071,2025-05-02,Enforcement Shift,DOJ Civil Rights Division redirected staff from police pattern-or-practice investigations toward DEI compliance reviews - weakening federal oversight of law enforcement misconduct.,9,Civil Rights,Civil Rights; Democracy,DOJ Enforcement,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0502-071
EVT-2025-0508-072,2025-05-08,Regulatory Rollback,FEC commissioners deadlocked on enforcement matters and paused advisory opinions - stalling campaign-finance investigations as dark-money spending surged.,8,Democracy,Democracy; Economy,Election Enforcement,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0508-072
EVT-2025-0512-073,2025-05-12,Workforce Reduction,FTC consumer-protection bureau staff placed on leave and new merger challenges halted - curtailing antitrust enforcement aligned with Project 2025's FTC chapter.,7,Economy,Economy; Democracy,Consumer Protection,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0512-073
EVT-2025-0515-074,2025-05-15,Regulatory Rollback,USDA expanded SNAP work requirements and shortened time-limit waivers - cutting nutrition assistance for able-bodied adults without dependents in high-unemployment areas.,8,Economy,Economy; Healthcare,Agriculture & Nutrition,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0515-074
EVT-2025-0520-075,2025-05-20,Policy Restriction,ODNI restricted congressional access to climate-security threat assessments and paused interagency intelligence briefings on election interference.,9,Democracy,Democracy; Environment,Intelligence & Security,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0520-075
EVT-2025-0525-076,2025-05-25,Policy Rollback,Pentagon reinstated restrictions on gender-affirming care for active-duty service members and paused TRICARE coverage updates - reversing inclusive military health policies.,8,Healthcare,Civil Rights; Healthcare,Defense Personnel,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0525-076
EVT-2025-0528-077,2025-05-28,Regulatory Rollback,CMS approved additional state Medicaid waivers imposing work requirements and premiums - conditioning health coverage on employment in high-unemployment counties.,8,Healthcare,Healthcare; Economy,Health & Human Services,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0528-077
EVT-2025-0602-078,2025-06-02,Executive Order,Interior accelerated offshore oil and gas lease sales in the Gulf of Mexico and Alaska - prioritizing fossil extraction over renewable siting on federal waters.,9,Environment,Environment; Economy,Energy & Environment,,https://thesunriseparty.pages.dev/tracker/EVT-2025-0602-078
EVT-2025-0605-079,2025-06-05,Policy Restriction,Election Assistance Commission security grants delayed as Congress advanced proof-of-citizenship registration mandates - weakening election infrastructure funding.,8,Democracy,Democracy; Civil Rights,Election Administration,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0605-079
EVT-2025-0610-080,2025-06-10,Regulatory Freeze,OSHA delayed silica exposure and heat-illness rulemakings pending political review - extending the administration-wide freeze on worker-safety protections.,7,Economy,Economy; Healthcare,Labor & Workforce,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0610-080
EVT-2025-0615-081,2025-06-15,Agency Action,VA accelerated community-care privatization despite GAO-documented overpayment and fraud risks - outsourcing veterans' health services with weakened oversight.,8,Healthcare,Healthcare; Economy,Veterans Affairs,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0615-081
EVT-2025-0620-082,2025-06-20,Policy Restriction,Congress advanced census and voter-registration changes targeting citizenship documentation - fueling noncitizen voting myths Brennan Center research has repeatedly debunked.,8,Democracy,Democracy; Immigration,Election Administration,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0620-082
EVT-2025-0625-083,2025-06-25,Executive Order,Interior fast-tracked hardrock mining leases and drilling permits on federal lands - sidestepping tribal consultation and NEPA review timelines.,9,Environment,Environment; Civil Rights,Energy & Environment,,https://thesunriseparty.pages.dev/tracker/EVT-2025-0625-083
EVT-2025-0630-084,2025-06-30,Policy Rollback,Education Department advanced Title IX sports rules excluding transgender student-athletes - reversing inclusive participation policies adopted under the prior administration.,8,Education,Civil Rights; Education,Education,,https://thesunriseparty.pages.dev/tracker/EVT-2025-0630-084
EVT-2025-0705-085,2025-07-05,Agency Action,CISA election-security coordination grants and state partnership staffing faced cuts - weakening federal voting-system cybersecurity as midterm infrastructure funding stalled.,9,Democracy,Democracy,Election Security,FIX-VR-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0705-085
EVT-2025-0710-086,2025-07-10,Regulatory Action,"USDA finalized expanded SNAP work requirements and time limits in additional states - restricting nutrition assistance for able-bodied adults without dependents, mirroring Project 2025 Agriculture chapter proposals.",7,Economy,Economy; Healthcare,Agriculture & Nutrition,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0710-086
EVT-2025-0715-087,2025-07-15,Regulatory Delay,Fish and Wildlife Service delayed Endangered Species Act consultations for energy and infrastructure projects - accelerating fossil and mining approvals while sidestepping species protections.,8,Environment,Environment,Energy & Environment,,https://thesunriseparty.pages.dev/tracker/EVT-2025-0715-087
EVT-2025-0720-088,2025-07-20,Agency Action,CMS approved new state Medicaid waivers imposing work requirements and premiums - conditioning health coverage on employment as Project 2025's HHS chapter recommended.,8,Healthcare,Healthcare; Economy,Healthcare,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0720-088
EVT-2025-0725-089,2025-07-25,Personnel Action,Merit Systems Protection Board backlog left thousands of federal employee appeals unresolved - including Schedule F reclassification challenges - without independent adjudication.,9,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0725-089
EVT-2025-0730-090,2025-07-30,Enforcement Shift,EEOC and OFCCP redirected civil-rights investigators toward DEI program audits while deprioritizing systemic workplace discrimination cases - weaponizing enforcement against inclusion programs.,8,Civil Rights,Civil Rights; Economy,Personnel & Civil Service,,https://thesunriseparty.pages.dev/tracker/EVT-2025-0730-090
EVT-2025-0804-091,2025-08-04,Agency Restructuring,USAID functions absorbed into State Department with foreign-aid portfolio reviews - consolidating humanitarian and development programs under political appointees per Project 2025's State chapter.,8,Democracy,Democracy; Healthcare,State Department,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0804-091
EVT-2025-0809-092,2025-08-09,Personnel Action,"Second wave of probationary federal employee terminations targeted climate, civil-rights, and inspector-general support staff - accelerating Schedule F implementation through attrition.",9,Democracy,Democracy; Environment; Civil Rights,Personnel & Civil Service,FIX-SAFE-002,https://thesunriseparty.pages.dev/tracker/EVT-2025-0809-092
EVT-2025-0814-093,2025-08-14,Workforce Policy,"OPM intensified deferred-resignation buyout pressure on career civil servants - offering exit packages while threatening RIFs for employees who declined, mirroring Project 2025 workforce purge tactics.",8,Democracy,Democracy; Economy,Personnel & Civil Service,FIX-ECO-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0814-093
EVT-2025-0819-094,2025-08-19,Funding Pause,IRA clean-energy grant disbursements paused pending political review - stalling home electrification rebates and community solar projects mid-implementation.,8,Environment,Environment; Economy,Energy & Environment,FIX-ENV-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0819-094
EVT-2025-0824-095,2025-08-24,International Withdrawal,WHO withdrawal process advanced with halted pandemic-preparedness funding and paused CDC global health partnerships - isolating U.S. public health from international coordination.,7,Healthcare,Healthcare; Democracy,Health & Human Services,FIX-HC-001,https://thesunriseparty.pages.dev/tracker/EVT-2025-0824-095
